input_kelas,kelas,hari,mata_kuliah,waktu,ruang,dosen,berlaku_mulai
1ka01,1KA01,Selasa,Teknologi Kecerdasan Artifisial,,UGTV,TEAM TEACHING,07 Jul 2025
1ka01,1KA01,Rabu,Matematika Dasar 2A,1/2,D656,DODDY ARI SURYANTO,07 Jul 2025
1ka01,1KA01,Rabu,Teori Organisasi Umum,3/4,D656,ANGGA PUTRI EKANOVA,07 Jul 2025
1ka01,1KA01,Rabu,Algoritma & Pemrograman 2A *,5/6,D656,TRI SULISTYORINI,07 Jul 2025
1ka01,1KA01,Rabu,Struktur & Organisasi Data *,8/9/10,D662,NUR PUTRI AGUSTIYANI,07 Jul 2025
1ka01,1KA01,Kamis,Pendidikan Agama Islam,1/2,E328,NUR MUNIR,07 Jul 2025
1ka01,1KA01,Kamis,Algoritma & Pemrograman 2C *,3/4,E328,ANNISA RAHMASYHARI,07 Jul 2025
1ka01,1KA01,Kamis,Algoritma & Pemrograman 2B *,6/7,E348,WITARI ARYUNANI,07 Jul 2025
1ka01,1KA01,Jum'at,Matematika Dasar 2B,1/2,G128,SUSI INDRATI,07 Jul 2025
1ka01,1KA01,Jum'at,Pendidikan Kewarganegaraan,3/4,G128,NUR PUTRI ERDIANTI,07 Jul 2025
1ka01,1KA01,Jum'at,Bahasa Indonesia,7/8,G128,JONO SAROYO,07 Jul 2025
1ka01,1KA01,Sabtu,Praktikum Teknologi Kecerdasan Artifisial,1/2,,TIM DOSEN,07 Jul 2025
1ka02,1KA02,Senin,Bahasa Indonesia,1/2,E315,ARI WIJAYA BASUKI RAHARJO,07 Jul 2025
1ka02,1KA02,Senin,Struktur & Organisasi Data *,5/6/7,E245,SARI NOORLIMA YANTI,07 Jul 2025
1ka02,1KA02,Senin,Pendidikan Agama Islam,8/9,E245,ABDUL ROHMAN,07 Jul 2025
1ka02,1KA02,Selasa,Teknologi Kecerdasan Artifisial,,UGTV,TEAM TEACHING,07 Jul 2025
1ka02,1KA02,Rabu,Matematika Dasar 2B,1/2,D663,JAMILAH,07 Jul 2025
1ka02,1KA02,Rabu,Algoritma & Pemrograman 2A *,3/4,D663,TRI SULISTYORINI,07 Jul 2025
1ka02,1KA02,Rabu,Algoritma & Pemrograman 2B *,5/6,D663,PURWANTI,07 Jul 2025
1ka02,1KA02,Rabu,Matematika Dasar 2A,8/9,D663,MUHAMMAD MOLDYNNIZ MUTIARA,07 Jul 2025
1ka02,1KA02,Jum'at,Algoritma & Pemrograman 2C *,1/2,G422,IDA ASTUTI,07 Jul 2025
1ka02,1KA02,Jum'at,Teori Organisasi Umum,3/4,G422,DYAH ESTHI PERWITASARI,07 Jul 2025
1ka02,1KA02,Jum'at,Pendidikan Kewarganegaraan,7/8,G422,MUHAMAD FARID MAHMUD,07 Jul 2025
1ka02,1KA02,Sabtu,Praktikum Teknologi Kecerdasan Artifisial,1/2,,TIM DOSEN,07 Jul 2025
1ka03,1KA03,Senin,Algoritma & Pemrograman 2C *,1/2,D653,IDA ASTUTI,07 Jul 2025
1ka03,1KA03,Senin,Struktur & Organisasi Data *,3/4/5,D653,NUR PUTRI AGUSTIYANI,07 Jul 2025
1ka03,1KA03,Senin,Bahasa Indonesia,6/7,D653,NURUL SAYEKTI,07 Jul 2025
1ka03,1KA03,Selasa,Teknologi Kecerdasan Artifisial,,UGTV,TEAM TEACHING,07 Jul 2025
1ka03,1KA03,Rabu,Matematika Dasar 2A,1/2,D655,NURICHWAN,07 Jul 2025
1ka03,1KA03,Rabu,Pendidikan Agama Islam,3/4,D655,ABDUL ROHMAN,07 Jul 2025
1ka03,1KA03,Rabu,Algoritma & Pemrograman 2A *,6/7,D657,RINA REFIANTI MUTIARA,07 Jul 2025
1ka03,1KA03,Rabu,Matematika Dasar 2B,8/9,D657,HARYONO PUTRO,07 Jul 2025
1ka03,1KA03,Jum'at,Teori Organisasi Umum,1/2,E523,ANGGA PUTRI EKANOVA,07 Jul 2025
1ka03,1KA03,Jum'at,Algoritma & Pemrograman 2B *,3/4,E523,RIZKI ARIYANI,07 Jul 2025
1ka03,1KA03,Jum'at,Pendidikan Kewarganegaraan,7/8,E227,UMI KULSUM,07 Jul 2025
1ka03,1KA03,Sabtu,Praktikum Teknologi Kecerdasan Artifisial,3/4,,TIM DOSEN,07 Jul 2025
1ka04,1KA04,Senin,Struktur & Organisasi Data *,1/2/3,E314,ASTIE DARMAYANTIE,07 Jul 2025
1ka04,1KA04,Senin,Teori Organisasi Umum,4/5,E336,EDY NURSANTA,07 Jul 2025
