title,order,level,kegiatan,parent_kegiatan,tanggal_raw,start_date,end_date
Kalender Akademik Genap (ATA) 2024/2025,1,1,Perkuliahan sebelum UTS.,,,,
Kalender Akademik Genap (ATA) 2024/2025,2,2,Sebelum Hari Raya Idul Fitri,Perkuliahan sebelum UTS.,6 Maret - 26 Maret 2025,2025-03-06,2025-03-26
Kalender Akademik Genap (ATA) 2024/2025,3,2,Setelah Hari Raya Idul Fitri,Perkuliahan sebelum UTS.,8 April - 26 Mei 2025,2025-04-08,2025-05-26
Kalender Akademik Genap (ATA) 2024/2025,4,1,Pendistribusian FRS ke mahasiswa melalui situs www.baak.gunadarma.ac.id,,3 Maret - 12 April 2025,2025-03-03,2025-04-12
Kalender Akademik Genap (ATA) 2024/2025,5,1,Kegiatan Pengisian dan Cetak KRS Online (termasuk Batal/Tambah/Ubah),,6 Maret - 19 April 2025,2025-03-06,2025-04-19
Kalender Akademik Genap (ATA) 2024/2025,6,1,Libur Hari Raya Idul Fitri,,27 Maret - 7 April 2025,2025-03-27,2025-04-07
Kalender Akademik Genap (ATA) 2024/2025,7,1,Batas Akhir Cetak KRS Online,,16 Mei 2025,2025-05-16,2025-05-16
Kalender Akademik Genap (ATA) 2024/2025,8,1,Batas akhir pengurusan cuti akademik,,6 Juni 2025,2025-06-06,2025-06-06
Kalender Akademik Genap (ATA) 2024/2025,9,1,Ujian Tengah Semester (UTS),,27 Mei - 14 Juni 2025,2025-05-27,2025-06-14
Kalender Akademik Genap (ATA) 2024/2025,10,1,Daftar Ulang Online,,27 Mei - 14 Juni 2025,2025-05-27,2025-06-14
Kalender Akademik Genap (ATA) 2024/2025,11,1,Kursus/Pelatihan Berbasis Kompetensi untuk Kelas 4 Yang Tidak Ada UTS,,27 Mei - 6 Juni 2025,2025-05-27,2025-06-06
Kalender Akademik Genap (ATA) 2024/2025,12,1,Kursus/Pelatihan dan Uji Berbasis Kompetensi untuk Kelas 4 Jenjang S1 dan Kelas 3 Jenjang D3,,2 Juni - 14 Juni 2025,2025-06-02,2025-06-14
Kalender Akademik Genap (ATA) 2024/2025,13,1,"Kursus/Pelatihan Berbasis Kompetensi untuk Kelas 1, 2 dan 3 serta Uji Kompetensi untuk Kelas 4 Jenjang S1 dan Kelas 3 Jenjang D3",,16 Juni - 21 Juni 2025,2025-06-16,2025-06-21
Kalender Akademik Genap (ATA) 2024/2025,14,1,Perkuliahan setelah UTS,,23 Juni - 19 Juli 2025,2025-06-23,2025-07-19
Kalender Akademik Genap (ATA) 2024/2025,15,1,Ujian Utama,,21 Juli - 26 Juli 2025,2025-07-21,2025-07-26
Kalender Akademik Genap (ATA) 2024/2025,16,1,Ujian Akhir Semester (UAS),,28 Juli - 9 Agustus 2025,2025-07-28,2025-08-09
Kalender Akademik Genap (ATA) 2024/2025,17,1,Uji Kompetensi untuk kelas 4 Jenjang S1 dan Kelas 3 Jenjang D3,,21 Juli - 9 Agustus 2025,2025-07-21,2025-08-09
Kalender Akademik Genap (ATA) 2024/2025,18,1,Libur Antar Semester,,11 Agustus - 13 September 2025,2025-08-11,2025-09-13
